Season,Series Ep Number,Season Ep Number,SeasonEpisode,Title,Directed by,Written by,Original Air Date,US Viewers(MMs),Summary,Category,Is Mulder Here?,Location,Location (commas removed),Latitude,Longitude
1,11,11,Seas1Ep11,"""Eve""",Fred Gerber,Kenneth Biller & Chris Brancato,"December 10, 1993",10.4,"When two fathers on opposite sides of the country are inexplicably murdered at exactly the same time in exactly the same way, Mulder and Scully find that their eight-year-old daughters are perfect twins and were created in order to continue The Litchfield Experiment, a eugenics project of the 1950s which produced cloned boys named Adam and girls named Eve who have heightened strength and intelligence, but are prone to psychotic behavior.",Murder,Mulder is here,"Greenwich, Connecticut",Greenwich Connecticut,41.026526,-73.628549
1,12,12,Seas1Ep12,"""Fire""",Larry Shaw,Chris Carter,"December 17, 1993",11.1,"Mulder investigates the deaths of British dignitaries at the behest of an old girlfriend from Oxford. Cecil L'Ively is a pyrokinetic: he has the ability to start fires with his mind, and he wants Sir Malcolm Marsden's wife.",'Monster of the Week'/Other,Mulder is here,"Bosham,  West Sussex, England",Bosham  West Sussex England,51.10351,-0.15322
1,13,13,Seas1Ep13,"""Beyond the Sea""",David Nutter,Glen Morgan & James Wong,"January 7, 1994",10.8,"A death row inmate named Luther Lee Boggs claims that he is psychic and can lead Mulder to a serial killer in exchange for a lesser sentence of life in prison. The agents' roles are reversed in this episode, with Mulder doubting Boggs's claim and Scully believing him after she is told that she can communicate through him with her recently deceased father.",Murder,Mulder is here,"Raleigh, North Carolina",Raleigh North Carolina,35.781295,-78.64167
1,14,14,Seas1Ep14,"""Gender Bender""",Rob Bowman,Larry Barber & Paul Barber,"January 21, 1994",11.1,"A series of identical sexual murders, where the killer appears to be both male and female, draw Mulder and Scully to an Amish-type community of people who may be of alien origin, leading to the discovery of a man who can change sex.",Alien,Mulder is here,"Sterling, Massachusetts",Sterling Massachusetts,42.4375,-71.761111
1,15,15,Seas1Ep15,"""Lazarus""",David Nutter,Alex Gansa & Howard Gordon,"February 4, 1994",12.1,"When FBI Agent Jack Willis and bank robber Warren Dupre are both shot at the same time during a robbery attempt, Dupre dies and Willis is resuscitated. When Willis rushes out of the hospital and begins acting strangely, Mulder concludes that Dupre's consciousness has been transferred to Willis's body.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
1,16,16,Seas1Ep16,"""Young at Heart""",Michael Lange,Scott Kaufer and Chris Carter,"February 11, 1994",11.5,"A psychotic criminal from one of Mulder's past casesâ€”John Barnettâ€”is back to get revenge on Mulder for incarcerating him. Before Barnett's release, a renegade doctor had found a way to reverse the aging processâ€”using Barnett as his test subject. Mulder and Scully rush to catch the now-unrecognizable youthful Barnett before he carries out his threat to kill all of Mulder's loved ones.",Murder,Mulder is here,"Allenwood, Pennsylvania",Allenwood Pennsylvania,41.10872,-76.902582
1,17,17,Seas1Ep17,"""E.B.E.""",William Graham,Glen Morgan & James Wong,"February 18, 1994",5.8,"Mulder and Scully receive information from Deep Throat about a UFO that was shot down over Iraq and has been secretly transported to the US. However, Deep Throat then intentionally misleads the agents to prevent them from discovering the truth. The Lone Gunmen are introduced.",Secret Government,Mulder is here,"Mattawa, Washington",Mattawa Washington,46.737796,-119.902333
1,18,18,Seas1Ep18,"""Miracle Man""",Michael Lange,Chris Carter & Howard Gordon,"March 18, 1994",11.6,"Mulder and Scully travel to Tennessee to investigate the ""Miracle Ministry"" and its star attractionâ€”a young man with the ability to heal people with his touchâ€”when a person dies shortly after being healed.",'Monster of the Week'/Other,Mulder is here,"Clarksville, Tennessee",Clarksville Tennessee,36.527278,-87.360338
1,19,19,Seas1Ep19,"""Shapes""",David Nutter,Marilyn Osborn,"April 1, 1994",11.5,"Mulder and Scully head to an Indian reservation in northwestern Montana to investigate a manslaughter case which Mulder believes may relate to the very first X-File ever created at the FBI, and its main subject: lycanthropy.",'Monster of the Week'/Other,Mulder is here,"Browning, Montana",Browning Montana,48.555945,-113.013421
1,20,20,Seas1Ep20,"""Darkness Falls""",Joe Napolitano,Chris Carter,"April 15, 1994",12.5,Mulder and Scully travel to a remote area of Washington State National Forest after an entire group of thirty loggers goes missing. They soon discover that an unseen force that was lying dormant has been awakened.,'Monster of the Week'/Other,Mulder is here,"Quinault, Washington",Quinault Washington,47.464032,-123.852757
1,21,21,Seas1Ep21,"""Tooms""",David Nutter,Glen Morgan & James Wong,"April 22, 1994",13.4,Tooms is released from the psychiatric sanitarium in which he was incarcerated for assaulting Scullyâ€”and he needs to kill once more to get the final liver which will allow him to hibernate for another thirty years. Mulder and Scully race against time to find evidence of his involvement in the past string of murders before Tooms disappears again. Assistant Director Walter Skinner appears for the first time.,Murder,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
1,22,22,Seas1Ep22,"""Born Again""",Jerrold Freedman,Howard Gordon & Alex Gansa,"April 29, 1994",13.7,"After a detective and his former partner die in unexplained circumstances, the accidents are linked to a little girl who witnessed both deaths and Mulder believes that she may be the reincarnation of a policeman murdered by his colleagues.",Murder,Mulder is here,"Buffalo, New York",Buffalo New York,42.887691,-78.879374
1,23,23,Seas1Ep23,"""Roland""",David Nutter,Chris Ruppenthal,"May 6, 1994",12.5,Agents Mulder and Scully investigate a series of murders in Mahan Propulsion Laboratory as a team of scientists die one by one and the only suspect is a mentally handicapped cleaner named Roland.,Murder,Mulder is here,"Colton, Washington",Colton Washington,46.567958,-117.128486
1,24,24,Seas1Ep24,"""The Erlenmeyer Flask""",R. W. Goodwin,Chris Carter,"May 13, 1994",14,A seemingly unrelated car chase leads Mulder and Scully to a scientific lab encompassing a secret which could provide proof of a government conspiracy.,Secret Government,Mulder is here,"Gaithersburg, Maryland",Gaithersburg Maryland,39.142187,-77.193402
2,25,1,Seas2Ep1,"""Little Green Men""",David Nutter,Glen Morgan & James Wong,"September 16, 1994",16.1,"With the X-Files shut down, FBI agent Fox Mulder finds his own belief in the truth waning. So when an old political ally gives him a new reason to believe, he goes alone to an abandoned SETI program siteâ€”Arecibo Observatoryâ€”in Arecibo, Puerto Rico. Concerned for his safety, fellow FBI agent Dana Scully has to track down his whereabouts before someone or something else does.",Alien,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
2,26,2,Seas2Ep2,"""The Host""",Daniel Sackheim,Chris Carter,"September 23, 1994",15.9,"When a man's decomposed body is found in the sewers of Newark, Mulder is given the supposed ""grunt"" work. But after Scully's autopsy turns up a parasite living inside the body and a sewer worker is attacked and bitten by something, it opens up a whole new can of worms.",'Monster of the Week'/Other,Mulder is here,"Newark, New Jersey",Newark New Jersey,40.731507,-74.174388
2,27,3,Seas2Ep3,"""Blood""",David Nutter,Darin Morgan,"September 30, 1994",14.8,"Prompted by messages from digital appliances with instructions to kill, several residents of a small farming community suddenly turn violent and dangerous.",A.I.,Mulder might be here,"Franklin, Pennsylvania",Franklin Pennsylvania,41.395214,-79.836964
2,28,4,Seas2Ep4,"""Sleepless""",Rob Bowman,Howard Gordon,"October 7, 1994",13.4,"An audio cassette hidden in his morning paper brings Mulder to request the case of a scientist's death consistent with burning, despite the lack of any evidence of any flames or burns. He is given his request along with a new partner, Agent Alex Krycek.",'Monster of the Week'/Other,Mulder is here,"New York, New York",New York New York,40.713054,-74.007228
2,29,5,Seas2Ep5,"""Duane Barry""",Chris Carter,Chris Carter,"October 14, 1994",13.9,Ex-FBI agent Duane Barry escapes from a mental hospital and holds several people hostage in a travel agency. Mulder and Krycek are sent in to help with the negotiations since the man claims to have been a UFO abductee.,Alien,Mulder is here,"Pulaski, Virginia",Pulaski Virginia,37.054716,-80.766246
2,30,6,Seas2Ep6,"""Ascension""",Michael Lange,Paul Brown,"October 21, 1994",15.5,"Continuing from the previous episode, Mulder races to Scully's house after listening to the recording of her attack on his answering machine. Duane Barry has kidnapped Scully, determined to offer her to the aliens in his place. Mulder goes to great lengths to attempt to locate Scully.",Alien,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
2,31,7,Seas2Ep7,"""3""",David Nutter,Chris Ruppenthal and Glen Morgan & James Wong,"November 4, 1994",15,"Walter Skinner reopens the X-Files, but Mulder is finding it difficult to work without the missing Scully. When he recognizes a Los Angeles killing as the work of the Trinity murderers, a trio of killers with a fetish for drinking blood, it gives him work in which to immerse himself.",Murder,Mulder is here,"Los Angeles, California",Los Angeles California,34.052238,-118.243344
2,32,8,Seas2Ep8,"""One Breath""",R. W. Goodwin,Glen Morgan & James Wong,"November 11, 1994",15.3,"When Scully mysteriously re-appears comatose in a hospital, Mulder fixates himself on finding the people responsible, though his quest for vengeance could make him exactly like those he despises.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
2,33,9,Seas2Ep9,"""Firewalker""",David Nutter,Howard Gordon,"November 18, 1994",15.2,"A malfunction in a robot designed for volcanic exploration yields evidence of a lifeform living in the caves. When this lifeform seemingly causes the death of a member of the research team, Mulder and a newly recovered Scully are flown out to the site in The Cascades to investigate before anyone else dies.",A.I.,Mulder is here,"Bend, Oregon",Bend Oregon,44.058088,-121.31515
2,34,10,Seas2Ep10,"""Red Museum""",Win Phelps,Chris Carter,"December 9, 1994",16.1,"Several Wisconsin teens are found wandering in the woods in their underwear with ""He Is One"" scrawled on their backs. Mulder and Scully travel to investigate this aberrant behavior, though the strangest thing in this meat-producing area is a mysterious cult of vegetarian ""walk-ins."" The Crew Cut Man returns, this time working alone. Several relics from the mythology like purity control and Deep Throat are revisited here.",Secret Government,Mulder is here,"Delta, Wisconsin",Delta Wisconsin,46.472193,-91.269922
2,35,11,Seas2Ep11,"""Excelsis Dei""",Stephen Surjik,Paul Brown,"December 16, 1994",14.2,"Mulder and Scully's latest case begins with the rape and battery of a nurse in a Massachusetts nursing homeâ€”what makes it an X-File is her claim that her attacker was invisible. However, upon their arrival, they uncover strange secrets about the home and its residents.",'Monster of the Week'/Other,Mulder is here,"Worcester, Massachusetts",Worcester Massachusetts,42.262073,-71.802278
2,36,12,Seas2Ep12,"""Aubrey""",Rob Bowman,Sara B. Charno,"January 6, 1995",16.2,"When a detective mysteriously uncovers the remains of an FBI agent who disappeared in the 1940s while investigating a homicide case eerily similar to a modern-day one she is investigating, Mulder and Scully believe that the original 1940s killer passed his genetic trait of violence to his grandchild.",Murder,Mulder is here,"Oregon, Missouri",Oregon Missouri,39.987196,-95.143342
2,37,13,Seas2Ep13,"""Irresistible""",David Nutter,Chris Carter,"January 13, 1995",14.7,"Someone is excavating graves in Minneapolis, removing body parts from the corpses. Mulder and Scully are contacted because the agent on the case believes it is the work of aliens; however Mulder quickly dismisses the idea, profiling the perpetrator as a fetishist. Later key evidence shows up and Scully realizes the case is more personal than she thought.",Alien,Mulder is here,"Saint Paul, Minnesota",Saint Paul Minnesota,44.943719,-93.094281
2,38,14,Seas2Ep14,"""Die Hand Die Verletzt""",Kim Manners,Glen Morgan & James Wong,"January 27, 1995",17.7,"New Hampshire teenagers feign an occult ritual in an attempt to ""score"" and inadvertently cause the murder and mutilation of one of their group. When Mulder and Scully are called to look into the matter, the town's real worshippers attempt to hide their tracks, though it seems there is a mysterious force at work that even the worshippers are afraid of.",Murder,Mulder is here,"Milford, New Hampshire",Milford New Hampshire,42.836326,-71.649497
2,39,15,Seas2Ep15,"""Fresh Bones""",Rob Bowman,Howard Gordon,"February 3, 1995",17.8,"One morning, after two gruesome hallucinations, Private Jack McAlpin crashes his car into a tree that has a voodoo symbol drawn on it; the second death of a marine in two weeks that has featured that symbol. The marines in question were guarding a processing center for Haitian refugees, and when Mulder and Scully visit the center they find the deaths were not as unexpected as they seemed.",'Monster of the Week'/Other,Mulder is here,"Scranton, Pennsylvania",Scranton Pennsylvania,41.409113,-75.662346
2,40,16,Seas2Ep16,"""Colony""",Nick Marck,David Duchovny & Chris Carter,"February 10, 1995",15.9,"At the beginning, a frozen Mulder is brought to a hospital. The episode flashes back to a scene two weeks before, where the crew of a research vessel find the wreckage of a UFO in the Beaufort Sea. The pilot who survives this crash walks out of the hospital and kills identical-looking doctors in various abortion clinics.",Alien,Mulder is here,"Paulatuk, Northwest Territories, Canada",Paulatuk Northwest Territories Canada,69.349724,-124.068784
2,41,17,Seas2Ep17,"""End Game""",Rob Bowman,Frank Spotnitz,"February 17, 1995",17.5,"An alien bounty hunter kidnaps Scully and wants to trade her for Mulder's sister, Samantha Mulder. Mulder asks for Skinner's help in making the trade, and has the FBI Director set up a sniper to take down the bounty hunter.",Alien,Mulder is here,"Paulatuk, Northwest Territories, Canada",Paulatuk Northwest Territories Canada,69.349724,-124.068784
2,42,18,Seas2Ep18,"""Fearful Symmetry""","James Whitmore, Jr.",Steve De Jarnatt,"February 24, 1995",16.5,"The death of a federal construction worker and the destruction of various property can only be tied to an escaped elephant, yet the witnesses claim to have seen no animals which might have caused the turmoil. Soon, Mulder and Scully discover the local zoo whose claim to fame is that they've never had a successful animal birth.",'Monster of the Week'/Other,Mulder is here,"Fairfield, Idaho",Fairfield Idaho,43.343033,-114.791961
2,43,19,Seas2Ep19,"""DÃ¸d Kalm""",Rob Bowman,Howard Gordon,"March 10, 1995",17.1,Mulder and Scully are called in when a boatload of survivors from a U.S. Navy destroyer escort are found. What particularly catches Agent Mulder's attention is that all of these Sailors appear to have aged many decades in the course of a few days. Mulder and Scully travel to Norway where they find a civilian fisherman who is willing to take them to the ship's last known position.,'Monster of the Week'/Other,Mulder is here,Norwegian Sea,Norwegian Sea,51.7909,1.15623
2,44,20,Seas2Ep20,"""Humbug""",Kim Manners,Darin Morgan,"March 31, 1995",15.7,"Mulder and Scully must find the paranormal among the abnormal when they are sent to investigate a long standing series of ritualistic killings which match no known patterns. The latest of which was the death of the ""Alligator Man"", just one of many sideshow acts around which the town of Gibsonton, Florida, is built.",Murder,Mulder is here,"Gibsonton, Florida",Gibsonton Florida,27.852463,-82.382285
2,45,21,Seas2Ep21,"""The Calusari""",Michael Vejar,Sara B. Charno,"April 14, 1995",12.9,"A photograph taken just before the death of a two-year-old boy yields evidence of some supernatural intervention which piques Mulder's curiosity. When another death in the family occurs, the grandmother of the remaining child requests the aid of some Romanian ritualists (called ""cÄƒluÅŸari"" or ""horsemen"") in order to cleanse the home of evil.",'Monster of the Week'/Other,Mulder is here,"Charlottesville, Virginia",Charlottesville Virginia,38.031046,-78.474159
2,46,22,Seas2Ep22,"""F. Emasculata""",Rob Bowman,Chris Carter & Howard Gordon,"April 28, 1995",14,"After several men in a prison die of a mysterious illness, Scully tries to discover the cause while Mulder attempts to find two escapees who could potentially spread the disease.",'Monster of the Week'/Other,Mulder is here,"Dinwiddie, Virginia",Dinwiddie Virginia,37.0819,-77.582317
2,47,23,Seas2Ep23,"""Soft Light""",James Contner,Vince Gilligan,"May 5, 1995",12.9,"An ex-student of Scully's asks the agents to help her with her first investigation concerning a number of disappearances with very few clues. Mulder ponders the idea of spontaneous human combustion but rethinks it when they find a man who is afraid of his own shadow. The man is Dr. Banton, a scientist researching dark matter.",Spontaneous Human Combustion,Mulder is here,"Richmond, Virginia",Richmond Virginia,37.540759,-77.433932
2,48,24,Seas2Ep24,"""Our Town""",Rob Bowman,Frank Spotnitz,"May 12, 1995",14.5,"Dudley, Arkansas, is the site of the latest investigation for Mulder and Scully, who are sent to find a missing poultry inspector. The case takes a twist when another poultry worker is shot after she goes insane, giving Mulder a hunch that the townsfolk really are what they eat.",'Monster of the Week'/Other,Mulder is here,"Pine Bluff, Arkansas",Pine Bluff Arkansas,34.221586,-92.002005
2,49,25,Seas2Ep25,"""Anasazi""",R. W. Goodwin,David Duchovny & Chris Carter,"May 19, 1995",16.6,The trust that Mulder and Scully have is sorely tested when Mulder begins acting strangely. His aberrant behavior is compounded when the Lone Gunmen direct him to a hacker who managed to break into some very closely guarded files. The files are encrypted in Navajo and need to be decoded by a former Navajo code talker.,Secret Government,Mulder is here,"Window Rock, Arizona",Window Rock Arizona,35.672119,-109.060706
3,50,1,Seas3Ep1,"""The Blessing Way""",R. W. Goodwin,Chris Carter,"September 22, 1995",19.94,"The Cigarette Smoking Man works quickly to recover the stolen computer files, but finds himself thwarted by a man who he hoped was dead. Meanwhile, Scully finds herself at a loss for her next step and turns to her family for support, since Mulder is otherwise engaged fighting for survival.",Secret Government,Mulder is here,"Newcomb, New Mexico",Newcomb New Mexico,36.282517,-108.70696
3,51,2,Seas3Ep2,"""Paper Clip""",Rob Bowman,Chris Carter,"September 29, 1995",17.2,Mulder and Scully search for answers regarding the old photograph with his father and other unnamed men. Their search takes them to the abandoned Strughold Mining Facility where they uncover a dangerous secret.,'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
3,52,3,Seas3Ep3,"""D.P.O.""",Kim Manners,Howard Gordon,"October 6, 1995",15.57,"Mulder is skeptical over a coroner's report regarding the fifth person to be struck by lightning in a small Oklahoma town. Their investigation into the latest death seems to point to the only person to have survived a lightning strike, an emotionally charged youth.",'Monster of the Week'/Other,Mulder is here,"Connerville, Oklahoma",Connerville Oklahoma,34.447498,-96.635803
3,53,4,Seas3Ep4,"""Clyde Bruckman's Final Repose""",David Nutter,Darin Morgan,"October 13, 1995",15.38,"Skeptical of a famous psychic's predictions regarding the death of several prognosticators, Mulder instead finds someone whom he believes truly can predict the future. Catching the killer could prove difficult, though, particularly if the killer can also see into his future.",Murder,Mulder is here,"Saint Paul, Minnesota",Saint Paul Minnesota,44.943719,-93.094281
3,54,5,Seas3Ep5,"""The List""",Chris Carter,Chris Carter,"October 20, 1995",16.72,"A death row inmate makes good on his promise to come back from the dead and kill the five people involved in his death. The fear of his retribution has everyone scrambling to determine if they are on the list, while Mulder and Scully attempt to determine how he has returned to execute his tormentors.",Murder,Mulder is here,"Lowell, Florida",Lowell Florida,29.330299,-82.191704
3,55,6,Seas3Ep6,"""2Shy""",David Nutter,Jeffrey Vlaming,"November 3, 1995",14.83,"Meeting insecure women through an on-line service, a serial killer seduces his prey with the right words. However, Mulder and Scully determine these killings are far from ordinary by the presence of a strange substance coating the victims, a substance which seems to digest the fatty acids in flesh.",Murder,Mulder is here,"Cleveland, Ohio",Cleveland Ohio,41.505546,-81.6915
3,56,7,Seas3Ep7,"""The Walk""",Rob Bowman,John Shiban,"November 10, 1995",15.91,"Another suicide attempt by a patient in a military hospital interests Mulder with the talk of a ""phantom soldier"" which has prevented the man's death. The general in charge is at first opposed to the FBI's involvement until the phantom soldier begins haunting him. But when the primary suspect is a quadruple amputee, they are met with ridicule.",'Monster of the Week'/Other,Mulder is here,"Fort Howard, Maryland",Fort Howard Maryland,39.207199,-76.445297
3,57,8,Seas3Ep8,"""Oubliette""",Kim Manners,Charles Grant Craig,"November 17, 1995",15.9,"When a young teenage girl is kidnapped from her home, a fast food worker miles away collapses on the job, apparently experiencing exactly what the child is feeling. When Mulder learns that the woman was kidnapped and held hostage for years as a child, he begins to believe that she may be the key to help find the missing girl.",'Monster of the Week'/Other,Mulder is here,"Seattle, Washington",Seattle Washington,47.603229,-122.33028
3,58,9,Seas3Ep9,"""Nisei""",David Nutter,Chris Carter & Howard Gordon & Frank Spotnitz,"November 24, 1995",16.36,"A mail order videotape of an alien autopsy blossoms into a much more complicated investigation when Mulder and Scully find the distributor of the tape killed in his own home apparently by a high-ranking Japanese diplomat. While Mulder's search for the video leads him to a train car, Scully investigates a Mutual UFO Network group and discovers several women who claim to know her.",Alien,Mulder is here,"Newport News, Virginia",Newport News Virginia,36.977714,-76.430349
3,59,10,Seas3Ep10,"""731""",Rob Bowman,Frank Spotnitz,"December 1, 1995",17.68,"Mulder is trapped on a train carriage that could be wired with a bomb, according to a killer who claims to be an NSA agent. Meanwhile, Scully digs deeper into the mystery surrounding her abduction.",Alien,Mulder is here,"Parkersburg, WV",Parkersburg WV,39.263525,-81.544756
3,60,11,Seas3Ep11,"""Revelations""",David Nutter,Kim Newton,"December 15, 1995",15.25,"Mulder tracks a series of religiously motivated homicides. Each of the eleven victims claims to have been stigmatic but all turned out to be frauds. When Mulder and Scully discover a little boy displaying inexplicable wounds of religious significance, they try to protect him from the killer they know will be coming.",Murder,Mulder is here,"Waynesburg, Pennsylvania",Waynesburg Pennsylvania,39.895267,-80.185397
3,61,12,Seas3Ep12,"""War of the Coprophages""",Kim Manners,Darin Morgan,"January 5, 1996",16.32,"A small town is plagued by deaths in which the bodies are found covered in cockroaches. Working from home, Scully has scientific explanations for all of them but Mulderâ€”at the crime scene with an attractive bug expertâ€”suspects the insects may not be organic, or earthly.",'Monster of the Week'/Other,Mulder is here,"Millers Falls, Massachusetts",Millers Falls Massachusetts,42.579787,-72.495171
3,62,13,Seas3Ep13,"""Syzygy""",Rob Bowman,Chris Carter,"January 26, 1996",16.04,Mulder and Scully investigate strange homicides in New Hampshire that may be due to a rare planetary alignment that affects people's behavior.,'Monster of the Week'/Other,Mulder is here,"Conway, New Hampshire",Conway New Hampshire,43.978692,-71.126212
3,63,14,Seas3Ep14,"""Grotesque""",Kim Manners,Howard Gordon,"February 2, 1996",18.32,"Agents Mulder and Scully join Mulder's former mentor, the FBI's chief profiler, on a case involving a serial killer who claims to be possessed by a demonic force. The case gets even more mysterious when the suspect is apprehended and the killings continue. Mulder gets involved more deeply than expected and Scully as well as Skinner are deeply concerned.",Murder,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
3,64,15,Seas3Ep15,"""Piper Maru""",Rob Bowman,Frank Spotnitz & Chris Carter,"February 9, 1996",16.44,"When a French salvage ship sends a diving crew to recover a mysterious wreckage from World War II, the crew falls prey to a bizarre illness and Agents Mulder and Scully join the investigation. The investigation leads to the discovery of a familiar face, and to Skinner's life being threatened.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
3,65,16,Seas3Ep16,"""Apocrypha""",Kim Manners,Frank Spotnitz & Chris Carter,"February 16, 1996",16.71,"While Mulder continues to investigate a bizarre illness that originated with the discovery of a mysterious World War II wreckage buried at sea, several government figures try to thwart their efforts. And as Skinner recovers from his shooting, Scully discovers that he is still in danger, from the man who killed her sister.",Secret Government,Mulder is here,"Fairdale, North Dakota",Fairdale North Dakota,48.487981,-98.231176
3,66,17,Seas3Ep17,"""Pusher""",Rob Bowman,Vince Gilligan,"February 23, 1996",16.2,Agents Mulder and Scully's assistance is requested for a case involving a man seemingly capable of bending people to his will. The suspect uses his mysterious abilities to manipulate Agent Mulder into a dangerous end game.,'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
3,67,18,Seas3Ep18,"""Teso Dos Bichos""",Kim Manners,John Shiban,"March 8, 1996",17.38,"A series of deaths occurs immediately after an ancient artifact is brought to Boston from an excavation site in Ecuador. According to Scully, the deaths appear to be the result of political terrorism, but Mulder suspects something more improbable.",'Monster of the Week'/Other,Mulder is here,"Boston, Massachusetts",Boston Massachusetts,42.358894,-71.056742
3,68,19,Seas3Ep19,"""Hell Money""",Tucker Gates,Jeffrey Vlaming,"March 29, 1996",14.86,"A string of mysterious deaths of recent Chinese immigrants brings Agents Mulder and Scully to San Francisco's Chinatown. The Agents team up with a Chinese-American detective to better understand the language and customs of the Chinese culture, but one thing remains frighteningly clearâ€”all of the bodies are missing various internal organs.",Cults,Mulder is here,"San Francisco, California",San Francisco California,37.78008,-122.420168
